Parent_Ex,Parent_Jpi,Total_C2S,0d3/2,0d5/2,Interaction,1s1/2
0.0,1+(1),0.3389457,0.240484,0.0984617,USD,0.0
0.1822,3+(1),0.61831403,0.0114672,0.00499383,USD,0.601853
0.1867,2+(1),0.338043,0.0697365,0.0484925,USD,0.219814
0.4133,2+(2),0.30702419999999997,0.0500207,0.0638225,USD,0.193181
1.4293,3+(2),0.34660464,0.319734,0.0256871,USD,0.00118354
1.5313,1+(2),0.17708849999999998,0.0974104,0.0796781,USD,0.0
1.6003,0+(1),0.156411,0.0,0.156411,USD,0.0
1.6519,4+(1),0.05884944,0.00932664,0.0495228,USD,0.0
1.8294,4+(2),0.58894518,0.585345,0.00360018,USD,0.0
1.8444,2+(3),0.3976676,0.255151,0.0227856,USD,0.119731
2.1658,2+(4),0.04243574,0.00583686,0.029597,USD,0.00700188
2.2714,1+(3),0.08978213,0.0850042,0.00477793,USD,0.0
2.4583,5+(1),0.0832169,0.0,0.0832169,USD,0.0
2.7202,1+(4),0.03216574,0.027242,0.00492374,USD,0.0
2.7963,3+(3),0.03802634,0.00634701,0.0258056,USD,0.00587373
2.8829,0+(2),0.0428065,0.0,0.0428065,USD,0.0
2.9334,4+(3),0.044253911,0.000591711,0.0436622,USD,0.0
2.9539,2+(5),0.0390798945,0.0347651,6.60745e-05,USD,0.00424872
3.006,5+(2),0.00758888,0.0,0.00758888,USD,0.0
3.3647,4+(4),0.04054792,0.0390853,0.00146262,USD,0.0
0.0,3+(1),0.6314231299999999,0.00832842,0.00925771,USDA,0.613837
0.0767,1+(1),0.402163,0.291252,0.110911,USDA,0.0
0.1484,2+(1),0.3296884,0.096538,0.0859074,USDA,0.147243
0.4159,2+(2),0.3290992,0.0291489,0.0344823,USDA,0.265468
1.4089,1+(2),0.1880321,0.0865381,0.101494,USDA,0.0
1.5223,0+(1),0.207664,0.0,0.207664,USDA,0.0
1.6756,3+(2),0.35764246,0.331505,0.0246793,USDA,0.00145816
1.7577,4+(1),0.0703382,0.0326289,0.0377093,USDA,0.0
2.0479,4+(2),0.51564632,0.505838,0.00980832,USDA,0.0
2.1415,2+(3),0.06738216,0.0204067,0.0380974,USDA,0.00887806
2.2403,5+(1),0.0833841,0.0,0.0833841,USDA,0.0
2.4117,1+(3),0.04649704,0.0441338,0.00236324,USDA,0.0
2.4522,2+(4),0.37356976,0.234982,0.00477376,USDA,0.133814
2.5998,1+(4),0.08374279999999999,0.0736298,0.010113,USDA,0.0
2.9303,3+(3),0.036470640000000006,0.010344,0.0232159,USDA,0.00291074
3.115,2+(5),0.0097878567,0.00794778,9.95967e-05,USDA,0.00174048
3.1175,5+(2),0.0115134,0.0,0.0115134,USDA,0.0
3.1911,4+(3),0.0413631,0.0035229,0.0378402,USDA,0.0
3.3921,2+(6),0.33306650000000004,0.293978,0.0116699,USDA,0.0274186
3.4881,0+(2),0.0127621,0.0,0.0127621,USDA,0.0
0.0,3+(1),0.6391636900000001,0.00725373,0.00864696,USDB,0.623263
0.0038,1+(1),0.360551,0.230863,0.129688,USDB,0.0
0.1081,2+(1),0.33230190000000004,0.0803633,0.0814026,USDB,0.170536
0.3252,2+(2),0.3066806,0.024972,0.0320636,USDB,0.249645
1.281,1+(2),0.1857135,0.114468,0.0712455,USDB,0.0
1.6279,4+(1),0.05818889,0.00915369,0.0490352,USDB,0.0
1.7078,3+(2),0.343745566,0.312985,0.0306423,USDB,0.000118266
1.7403,0+(1),0.18673,0.0,0.18673,USDB,0.0
1.9884,4+(2),0.56568407,0.5606,0.00508407,USDB,0.0
2.0589,2+(3),0.1082948,0.0478344,0.0483081,USDB,0.0121523
2.2243,5+(1),0.0764034,0.0,0.0764034,USDB,0.0
2.2365,2+(4),0.35843981280000003,0.238315,1.38128e-05,USDB,0.120111
2.4499,1+(3),0.07480064,0.07149,0.00331064,USDB,0.0
2.6772,1+(4),0.0685577,0.0608215,0.0077362,USDB,0.0
2.7259,3+(3),0.038909269999999996,0.0135549,0.0241227,USDB,0.00123167
2.977,5+(2),0.0150225,0.0,0.0150225,USDB,0.0
2.9976,4+(3),0.033597199,0.000131899,0.0334653,USDB,0.0
3.0655,2+(5),0.008971355208,0.00638835,2.75208e-07,USDB,0.00258273
3.2309,0+(2),0.0284236,0.0,0.0284236,USDB,0.0
3.4338,4+(4),0.0775798466,0.0775647,1.51466e-05,USDB,0.0
